Company Name,Website,Κατηγορία,Email,Facebook,LinkedIn,Instagram,YouTube,Twitter,TikTok,YouBeHero,YouBeHero URL (from YouBeHero),Desmos,Name (from Desmos),ACF,Name (from ACF),WebsiteAudits,ngoHeroes,Name (from ngoHeroes),Social Dynamo,SocialDynamo URL (from Social Dynamo),Ethelon,Ethelon URL (from Ethelon),Media Items,HubSpot Company ID,Last Modified,Διεύθυνση,Πόλη,WordPress
"Ορίζοντας- Κέντρο Έρευνας, Τεχνολογίας και Καινοτομίας",,,,,https://www.linkedin.com/company/%CE%BF%CF%81%CE%AF%CE%B6%CE%BF%CE%BD%CF%84%CE%B1%CF%82/,,,,,,,,,https://www.activecitizensfund.gr/foreas/orizontas-kentro-ereynas-technologias-kai-kainotomias/,https://www.activecitizensfund.gr/foreas/orizontas-kentro-ereynas-technologias-kai-kainotomias/,,,,,,,,,,2/10/2024 12:47am,,,
Quaesura,,,,,,,,,,,,,,https://www.activecitizensfund.gr/foreas/quaesura/,https://www.activecitizensfund.gr/foreas/quaesura/,,,,,,,,,,2/10/2024 12:50am,,,
Ένωση Ελλήνων Ρομά Διαμεσολαβητών και Συνεργατών τους,,,,https://www.facebook.com/eldirom/,,,,,,,,,,https://www.activecitizensfund.gr/foreas/enosi-ellinon-roma-diamesolaviton-kai-synergaton-toys/,https://www.activecitizensfund.gr/foreas/enosi-ellinon-roma-diamesolaviton-kai-synergaton-toys/,,,,,,,,,,2/10/2024 1:11am,,,
Ινστιτούτο Κοινωνικής & Προληπτικής Ιατρικής,,,,,,,,,,,,,,https://www.activecitizensfund.gr/foreas/institoyto-koinonikis-amp-proliptikis-iatrikis/,https://www.activecitizensfund.gr/foreas/institoyto-koinonikis-amp-proliptikis-iatrikis/,,,,,,,,,,2/11/2024 10:56pm,,,
Σοροπτιμιστικός όμιλος Βόλου Θέτις,,,,,,https://www.instagram.com/soroptimist_thetis/,,,,,,,,https://www.activecitizensfund.gr/foreas/soroptimistikos-omilos-voloy-thetis/,https://www.activecitizensfund.gr/foreas/soroptimistikos-omilos-voloy-thetis/,,,,,,,,,,3/21/2024 12:38am,,,
Δείπνο Αγάπης,,,mariannapeppa@gmail.com,https://www.facebook.com/deipnoagapis.gr/,https://www.linkedin.com/company/%CE%B4%CE%B5%CE%AF%CF%80%CE%BD%CE%BF-%CE%B1%CE%B3%CE%AC%CF%80%CE%B7%CF%82-deipno-agapis/,https://www.instagram.com/deipnoagapis/,,,,,,,,,,,,,,,,,,,2/12/2024 7:37pm,,,
Safe Place Greece,,,,,https://www.linkedin.com/company/safe-place-greece/,,,,,,,,,,,,,,,,http://www.ethelon.org/ngo/safe-place-greece/,http://www.ethelon.org/ngo/safe-place-greece/,,,3/3/2024 6:11pm,,,
Ελληνικός Σύλλογο για την Αταξία του Φρίντριχ,,Υγεία,,https://www.facebook.com/hefaaassociation/,https://www.linkedin.com/company/hefaaassociation/,https://www.instagram.com/hefaa_association/,,https://twitter.com/hefaassociation,,,,,,,,,,,,,,,,,2/29/2024 1:44am,,,
SEA Greece,,,seagreece@yahoo.com,https://www.facebook.com/SEAgreece.gr/,https://www.linkedin.com/company/sea-greece/,,,,,,,,,,,,,,,,,,,,2/29/2024 1:46am,,,
Humanitarian Support Agency,,Προσφυγικό,,,https://www.linkedin.com/company/humanitarian-support-agency/,,,,,,,,,,,,,,,,,,,,2/29/2024 2:18am,,,
Hellenic Association of Women in Culture & Tourism (HAWCT)α,,,,,https://www.linkedin.com/company/hellenic-association-of-women-in-culture-tourism-hawct/,,,,,,,,,,,,,,,,,,,,2/29/2024 2:31am,,,
Syniparxis Org,,,,,https://www.linkedin.com/company/syniparxisorg/,,https://www.youtube.com/channel/UC8IfPH0BWBbt9ibRKvLJXeA,,,,,,,,,,,,,,,,,,2/29/2024 3:00am,,,
EducAid,,,,https://www.facebook.com/educaid.gr/,https://www.linkedin.com/company/educaid-gr/,https://www.instagram.com/educaid_greece,,,,,,,,,,,,,,,,,,,2/29/2024 3:04am,,,
SoSCIety,,,,,,,,,,,,,,,,,,,https://www.socialdynamo.gr/hosted_group/11943/,https://www.socialdynamo.gr/hosted_group/11943/,,,,,3/2/2024 8:47pm,,,
Humanity First Greece,,,,https://www.facebook.com/humanityfirstgr,https://www.linkedin.com/company/humanityfirstgr/,,,,,,,,,,,,,,,,,,,,3/2/2024 10:39pm,,,
ΑΡΩΓΗ - Σωματειο ατόμων με προβλήματα όρασης Νομού Κυκλάδων,,,,https://www.facebook.com/Arogi.Cyclades/,,,,,,,,,,,,,,,,,http://www.ethelon.org/ngo/αρωγη-σωματειο-ατόμων-με-προβλήματα-ό/,http://www.ethelon.org/ngo/αρωγη-σωματειο-ατόμων-με-προβλήματα-ό/,,,3/4/2024 12:50pm,,,
Κάντο Πράξη,,,kantopraxi@gmail.com,https://www.facebook.com/SyllogosKantoPraxi,,https://www.instagram.com/Kantopraxi_org,,,,,,,,,,,,,,,http://www.ethelon.org/ngo/σύλλογος-κάντο-πράξη/,http://www.ethelon.org/ngo/σύλλογος-κάντο-πράξη/,,,3/4/2024 1:59pm,,,
Δίκτυο για το Δικαίωμα στη Στέγη και την Κατοικία Ελλάδας ,,,,https://www.facebook.com/profile.php?id=61552117107729,,,,,,,,,,,,,,,,,http://www.ethelon.org/ngo/ελληνικό-δίκτυο-για-το-δικαίωμα-στη-στ/,http://www.ethelon.org/ngo/ελληνικό-δίκτυο-για-το-δικαίωμα-στη-στ/,,,3/4/2024 2:11pm,,,
Σύλλογος Καρκινοπαθών Φλώρινας,,Υγεία,,https://www.facebook.com/groups/2833060906704434,,,,,,,,,,,,,,,,,,,,,3/4/2024 5:00pm,,,
Σύλλογος Καρκινοπαθών και Φίλων Νομού Ξάνθης – “παραΜΕΝΟΝΤΑΣ ΖΩΗροι”,,Υγεία,paramenontaszoiroi@yahoo.gr,https://www.facebook.com/paramenontaszoiroi,,,,,,,,,,,,,,,,,,,,,3/4/2024 5:37pm,,,
Greece in,,,,,https://www.linkedin.com/company/greecein/,https://www.instagram.com/greecein_org,,,,,,,,,,,,,,,,,,,3/8/2024 2:33pm,,,
Keep Kalymnos Clean,,Περιβάλλον,,https://www.facebook.com/KeepKalymnosClean/,https://www.linkedin.com/company/keep-kalymnos-clean/,https://www.instagram.com/keep.kalymnos.clean/,,,,,,,,,,,,,,,,,,,3/21/2024 12:38am,,,
Ελληνική Ένωση Διερμηνέων-Μεταφραστών-Διαπολιτισμικών Μεσολαβητών Των Σπάνιων Γλωσσών,,,,https://www.facebook.com/Elendimesg/,https://www.linkedin.com/company/elendimesg/,,,https://twitter.com/elendimesg1,,,,,,,,,,,,,,,,,3/21/2024 12:38am,,,
Precious Plastic Samos,,,,https://www.facebook.com/preciousplasticsamos/,https://www.linkedin.com/company/precious-plastic-samos/,,,,,,,,,,,,,,,,,,,,3/21/2024 12:38am,,,
HEROMACT (Hellenic Roma Action),,,,,https://www.linkedin.com/company/heromact/,,,,,,,,,,,,,,,,,,,,3/9/2024 1:31am,,,
"Αστρονομική Εταιρεία Ηλείας, Βέγας",,Επιστήμες,vegas.astronomy@gmail.com,https://www.facebook.com/vegas.astronomy.ilia/,https://www.linkedin.com/company/vegas-astronomy/,,https://www.youtube.com/@vegas.astronomy,,,,,,,,,,,,,,,,,,3/21/2024 12:51am,,,
Αστερίας-Starfish,,,,,,,,,,,,http://www.desmosdirect.org/Profiles/0ba2da2a-ed40-4b4d-b772-d6b22b6f6bae/starfish-foundation,http://www.desmosdirect.org/Profiles/0ba2da2a-ed40-4b4d-b772-d6b22b6f6bae/starfish-foundation,,,,,,,,,,,,9/9/2024 11:34am,,,
Be the Miracle – Το Θαύμα,http://bethemiracle.gr/,,,https://www.facebook.com/bethemiraclegr/,https://www.linkedin.com/company/be-the-miracle-greece/,,,,,,,,,,,,,,,,http://www.ethelon.org/ngo/be-the-miracle/,http://www.ethelon.org/ngo/be-the-miracle/,,10441434354,9/6/2024 6:10pm,,,No
Equalact Social,http://equalact-social.org/,,,https://www.facebook.com/profile.php?id=100080370990543,,,,,,,,,,,,,,,,,,,,9982458565,9/6/2024 6:10pm,,,No
Σύλλογος Κοινωνικής Παρέμβασης Έρασμος,http://erasmosverias.com/,,erasmos.veria@gmail.com,,,,,,,https://www.youbehero.com/gr/cause/sillogos-kinonikis-paremvasis-erasmos,https://www.youbehero.com/gr/cause/sillogos-kinonikis-paremvasis-erasmos,,,,,,,,,,,,,9983057597,9/6/2024 6:10pm,,,Yes
Global Live Med,http://globallivemed.org/,,,https://www.facebook.com/globallivemed/,https://www.linkedin.com/company/globallivemed/,,,,,,,,,,,,,,,,,,,10340810727,2/29/2024 1:48am,,,
Ινστιτούτο Μελέτης της Τοπικής Ιστορίας & της Ιστορίας των Επιχειρήσεων (ΙΜΤΙΙΕ),http://imtiie.gr/,,,https://www.facebook.com/Imtiie/,https://www.linkedin.com/company/imtiie_piraeus/,https://www.instagram.com/imtiie_piraeus/,,https://twitter.com/imtiie,,,,,,,,,,,,,http://www.ethelon.org/ngo/ινστιτουτο-μελετηστοπικησ-ιστοριασ/,http://www.ethelon.org/ngo/ινστιτουτο-μελετηστοπικησ-ιστοριασ/,,10019977968,9/6/2024 6:10pm,,,Yes
Ίδρυμα Οικονομικών & Βιομηχανικών Ερευνών,http://iobe.gr/,,info@iobe.gr,https://www.facebook.com/iobe.foundation/,https://www.linkedin.com/company/iobefeir/,,,https://twitter.com/iobe_feir,,,,,,,,,,,,,,,,10019737576,9/6/2024 6:10pm,,,No
Ο Σπόρος,http://osporos.com/,,,,,,,,,,,,,https://www.activecitizensfund.gr/foreas/o-sporos/,https://www.activecitizensfund.gr/foreas/o-sporos/,,,,,,,,,9984448994,9/6/2024 6:10pm,,,No
Αγάπη Για Ζωή,http://www.agapigiazwi.com/,,,,,,,,,,,,,,,,,,,,,,,9983180260,9/6/2024 6:10pm,,,No
ANASA – Πολιτιστικό Κέντρο Αφρικάνικης Τέχνης και Πολιτισμών,http://www.anasa.org.gr/,,,,,,,,,,,,,https://www.activecitizensfund.gr/foreas/anasa-politistiko-kentro-afrikanikis-technis-kai-politismon/,https://www.activecitizensfund.gr/foreas/anasa-politistiko-kentro-afrikanikis-technis-kai-politismon/,,,,,,,,,9984369343,9/6/2024 6:10pm,,,Yes
ANKAA Project,http://www.ankaaproject.org/,,info@ankaaproject.org,https://www.facebook.com/ANKAAPROJECT/,https://www.linkedin.com/company/ankaaproject/,https://www.instagram.com/ankaaproject/,,,,"https://www.youbehero.com/gr/cause/ankaa-project,https://www.youbehero.com/gr/cause/ankaa-project","https://www.youbehero.com/gr/cause/ankaa-project, https://www.youbehero.com/gr/cause/ankaa-project",,,,,,https://ngoheroes.gr/company/ankaa-project-2/,https://ngoheroes.gr/company/ankaa-project-2/,,,http://www.ethelon.org/ngo/ankaa-project/,http://www.ethelon.org/ngo/ankaa-project/,,9947765190,9/6/2024 6:10pm,,,No
APICCO,http://www.apicco.net/,,,https://www.facebook.com/ApiccoCommunity/,,,https://www.youtube.com/@apiccocommunity9443,,,https://www.youbehero.com/gr/cause/apicco-community-based-art,https://www.youbehero.com/gr/cause/apicco-community-based-art,,,https://www.activecitizensfund.gr/foreas/apicco-community-based-art/,https://www.activecitizensfund.gr/foreas/apicco-community-based-art/,,,,,,,,,10730035920,9/6/2024 6:10pm,,,No
Α.Σ.Π.Ι.ΔΑ - Αλληλεγγύη Στήριξη Προστασία Ισότητα Διαπολιτισμική Ανάπτυξη,http://www.aspida.org.gr/,,,,,,,,,,,,,https://www.activecitizensfund.gr/foreas/allileggyi-stirixi-prostasia-isotita-diapolitismiki-anaptyxi-a-s-p-i-da/,https://www.activecitizensfund.gr/foreas/allileggyi-stirixi-prostasia-isotita-diapolitismiki-anaptyxi-a-s-p-i-da/,,,,,,,,,9984891126,9/6/2024 6:10pm,,,No
Άθυρμα,http://www.athirma.com/,,,https://www.facebook.com/Athirma.ngo/,https://www.linkedin.com/company/athirmagreece/,,,https://twitter.com/athirmango,,,,,,,,,,,,,,,,10363870685,2/29/2024 11:54pm,,,
Be My Hero - Γίνε ο Ήρωάς μου!,http://www.bemyhero.gr/,Υγεία,bemyhero@bemyhero.gr,https://www.facebook.com/bemyhero2,https://www.linkedin.com/company/be-my-hero-%CE%B3%CE%AF%CE%BD%CE%B5-%CE%BF-%CE%AE%CF%81%CF%89%CE%AC%CF%82-%CE%BC%CE%BF%CF%85/,,https://www.youtube.com/channel/UCr9eUvy8wsMRxhFnMbD1Vjw,https://twitter.com/bemyhero_now,,,,,,,,,,,,,,,,10403064797,9/6/2024 6:10pm,,,Yes
BUSINESS MENTALITY,http://www.business-mentality.com/,,info@business-mentality.com,https://www.facebook.com/BusinessMentality/,,,https://www.youtube.com/user/TheBusinessMentality,https://twitter.com/BMgreece,,,,,,,,,https://ngoheroes.gr/company/business-mentality/,https://ngoheroes.gr/company/business-mentality/,,,,,,9948128715,9/6/2024 6:10pm,,,No
Σύλλογος Καρκινοπαθών & Φίλων Κυκλαδων,http://www.ccpa.gr/,Υγεία,sykafikykladon@gmail.com,https://www.facebook.com/profile.php?id=100064650763430,,,,,,,,,,,,,,,,,,,,10730195677,3/21/2024 12:53am,,,
Ελληνική Ένωση Έρευνας Διάσωσης Εθελοντών Αττικής,http://www.eeedea.gr/,,eeedea@yahoo.gr,https://www.facebook.com/profile.php?id=100064455798711,,,,,,,,,,,,,,,,,,,,9982989764,9/6/2024 6:10pm,,,No
Σύλλογος Εθελοντών Υποστήριξης Ανηλίκων και Νέων,http://www.entos-ektos.com/,,,https://www.facebook.com/entosektosvolunteersassociation/,,,https://www.youtube.com/channel/UC8OqHdl0BpSbZhyjDmwEDfg,,,,,,,,,,,,,,,,,9983230172,9/6/2024 6:10pm,,,No
Εθελοντική Ομάδα Διάσωσης & Υγειονομικών Αποστολών (ΕΟΔΥΑ),http://www.eodia.gr/,,info@eodia.gr,https://www.facebook.com/eodia2017,,,https://www.youtube.com/channel/UCU6sNV1DvfU0wOsz_F4gUcA,https://twitter.com/eodia2017,,https://www.youbehero.com/gr/cause/ethelontiki-omada-diasosis-kai-igionomikon-apostolon,https://www.youbehero.com/gr/cause/ethelontiki-omada-diasosis-kai-igionomikon-apostolon,,,,,,,,,,,,,10273995205,9/6/2024 6:10pm,,,No
Future Leaders,http://www.futureleaders.gr/,,,https://www.facebook.com/FutureLeadersGreece,https://www.linkedin.com/company/future-leaders-non-profit-civil-asociation/,,https://www.youtube.com/user/FUTURELEADERSNGO,https://twitter.com/FutureLeaders,,,,,,,,,,,,,,,,10262528472,9/6/2024 6:10pm,,,No
EMPATHY,http://www.greek2m.org/,,,,https://www.linkedin.com/company/empathy-community-based-ngo/,,,,,,,,,,,,,,,,,,,10364024259,9/6/2024 6:10pm,,,No
Home-Start,http://www.homestart.org.gr/,,hellas@homestart.org.gr,,,,,,,,,,,,,,,,,,,,,9983118781,9/6/2024 6:10pm,,,No
Σύλλογος Καρκινοπαθών Κοζάνης,http://www.skk.org.gr/,Υγεία,info@skk.org.gr,https://www.facebook.com/skk.org.gr/,,,,,,,,,,,,,,,,,,,,10730035919,3/21/2024 12:53am,,,
Στέγη Μέλισσα,http://www.stegimelissa.gr/,,,,https://www.linkedin.com/company/stegi-melissa/,,,,,,,,,,,,,,,,,,,10404414711,9/6/2024 6:10pm,,,No
Four Elements,https://4-elements.org/,,info@4-elements.org,https://www.facebook.com/4ElementsNGO/,https://www.linkedin.com/company/fourelementsngo/,,,,,,,,,,,,,,,,http://www.ethelon.org/ngo/four-elements/,http://www.ethelon.org/ngo/four-elements/,,10402632943,9/6/2024 6:10pm,,,Yes
Πρόσωπον Γίγνεσθαι,https://a4pca-ccpt-see.weebly.com/,Υγεία,a4pcaccptsee@gmail.com,https://www.facebook.com/adpcaccptsee,https://www.linkedin.com/company/becomingaperson/,https://www.instagram.com/prosopon.gignesthai/,,,,,,,,,,,,,,,,,,10730089971,9/6/2024 6:10pm,,,No
Ακαδημία Νευροεπιστημών,https://acne.gr/,,info@acne.gr,https://www.facebook.com/acne.gr/,https://www.linkedin.com/company/academyofneurosciences/,https://www.instagram.com/academyofneurosciences/,https://www.youtube.com/channel/UCJkIAVvMsvTl4rhS9rm4B6g,https://twitter.com/neurosciencesgr,,,,,,,,,,,,,,,,10217825480,9/6/2024 6:10pm,,,Yes
ActionAid Hellas,https://actionaid.gr/,,info.hellas@actionaid.org,https://www.facebook.com/actionaidhellas/,https://www.linkedin.com/company/actionaid-hellas/,https://www.instagram.com/actionaidhellas/,https://www.youtube.com/user/actionaidhellas,https://twitter.com/actionaidhellas,,https://www.youbehero.com/gr/cause/actionaid-hellas,https://www.youbehero.com/gr/cause/actionaid-hellas,,,https://www.activecitizensfund.gr/foreas/3824/,https://www.activecitizensfund.gr/foreas/3824/,,https://ngoheroes.gr/company/actionaid-hellas/,https://ngoheroes.gr/company/actionaid-hellas/,,,http://www.ethelon.org/ngo/actionaid-hellas/,http://www.ethelon.org/ngo/actionaid-hellas/,,9948080576,9/6/2024 6:10pm,,,No
Action for the Civil Society,https://actionforcivilsociety.org/,,,,https://www.linkedin.com/company/action-for-the-civil-society/,,,,,,,,,,,,,,,,,,,10404956144,9/6/2024 6:10pm,,,No
Action Team,https://actionteamkavala.weebly.com/,,edam850@gmail.com,https://www.facebook.com/profile.php?id=100069657352184,https://www.linkedin.com/company/action-team-org/,,,,,,,,,,,,,,,,,,,10730390206,9/6/2024 6:10pm,,,No
ADRA Hellas,https://adrahellas.org.gr/,,,https://www.facebook.com/AdraGreece/,https://www.linkedin.com/company/adrahellas/,https://www.instagram.com/adra_hellas/,,,,,,,,,,,,,,,http://www.ethelon.org/ngo/adra-hellas/,http://www.ethelon.org/ngo/adra-hellas/,,10402835644,9/6/2024 6:10pm,,,Yes
ΚοινΣΕπ Ιστία Αιγαίου,https://aegeancargosailing.org/,,infosailmed@gmail.com,https://www.facebook.com/aegeancargosailing/,https://www.linkedin.com/in/aegean-sails-73418817b/,,,,,,,,,,,,https://ngoheroes.gr/company/%ce%ba%ce%bf%ce%b9%ce%bd%cf%83%ce%b5%cf%80-%ce%b9%cf%83%cf%84%ce%af%ce%b1-%ce%b1%ce%b9%ce%b3%ce%b1%ce%af%ce%bf%cf%85/,https://ngoheroes.gr/company/%ce%ba%ce%bf%ce%b9%ce%bd%cf%83%ce%b5%cf%80-%ce%b9%cf%83%cf%84%ce%af%ce%b1-%ce%b1%ce%b9%ce%b3%ce%b1%ce%af%ce%bf%cf%85/,,,http://www.ethelon.org/ngo/ιστια-αιγαιου-κοινσεπ/,http://www.ethelon.org/ngo/ιστια-αιγαιου-κοινσεπ/,,9948156406,9/6/2024 6:10pm,,,No
Aegean Cargo Sailing,https://aegeancargosailing.org/,,infosailmed@gmail.com,https://www.facebook.com/aegeancargosailing,https://www.linkedin.com/company/aegean-cargo-sailing/,https://www.instagram.com/sailmed_aegeancargosailing/,https://www.youtube.com/channel/UCt96bTmtGMIgCjc4xlFLXXQ,,,https://www.youbehero.com/gr/cause/aegean-sails,https://www.youbehero.com/gr/cause/aegean-sails,,,,,,,,,,,,,9982484929,9/6/2024 6:10pm,,,No
Aegean Film Festival,https://aegeanff.com/,Πολιτισμός,,,https://www.linkedin.com/company/aegeanff/,,,,,,,,,,,,,,,,,,,10020124098,9/6/2024 6:10pm,,,No
ΑΦΗΣ,https://afis.gr/,Περιβάλλον,info@afis.gr,https://www.facebook.com/afis.greece,https://www.linkedin.com/company/afis-recycling/,https://www.instagram.com/afisrecycling/,https://www.youtube.com/channel/UCoQQsv7ygCTJd9DQMVKA7Kg,,,,,,,,,,,,,,,,,10362487751,9/6/2024 6:10pm,,,Yes
ΑγκαλιάΖΩ - Όμιλος Εθελοντών κατά του Καρκίνου,https://agaliazo.org/,Υγεία,info@agaliazo.org,https://www.facebook.com/profile.php?id=100064672572295,,https://www.instagram.com/omilosagaliazo/,,,,,,,,,,,,,,,,,,9948080580,9/6/2024 6:10pm,,,Yes
AiCAN,https://aican.eu/,,info@aican.eu,https://www.facebook.com/aican.academy/,,,,,,,,,,,,,https://ngoheroes.gr/company/actually-i-can-healing-coaching-etheric-acadey-%ce%ba%ce%bf%ce%b9-%ce%b4-%ce%b5%cf%80/,https://ngoheroes.gr/company/actually-i-can-healing-coaching-etheric-acadey-%ce%ba%ce%bf%ce%b9-%ce%b4-%ce%b5%cf%80/,,,,,,9948080374,9/6/2024 6:10pm,,,No
e-Αιμοδότες,https://aimodotes.org/,,info@aimodotes.org,https://www.facebook.com/eAimodotes/,https://www.linkedin.com/company/eaimodotes/,https://www.instagram.com/e_aimodotes/,,https://twitter.com/e_aimodotes,,https://youbehero.com/gr/cause/e-aimodotes,https://youbehero.com/gr/cause/e-aimodotes,,,,,,,,,,http://www.ethelon.org/ngo/e-αιμοδότες/,http://www.ethelon.org/ngo/e-αιμοδότες/,,10404440763,9/6/2024 6:10pm,,,Yes
Al Itisal,https://alitisalproject.blogspot.com/,Προσφυγικό,,https://www.facebook.com/alitisalproject,https://www.linkedin.com/company/al-itisal-project/,,https://www.youtube.com/channel/UCD5T39Od2Ul7eMnNhyOYklg,,,,,,,,,,,,,,,,,10402959324,9/6/2024 6:10pm,,,Yes
ALL - Accessible Limitless Living,https://all.org.gr/,,,,,,,,,,,,,https://www.activecitizensfund.gr/foreas/accessible-limitless-living/,https://www.activecitizensfund.gr/foreas/accessible-limitless-living/,,,,,,,,,9984812016,9/6/2024 6:10pm,,,No
All.Can Greece,https://allcan.gr/,Υγεία,,,,,https://www.youtube.com/@all.can_greece,,,,,,,,,,,,,,,,,9948091383,9/6/2024 6:10pm,,,Yes
